target,iteration,red_count,red_event_count,red_event_rate
broad_PLP_to_non_PLP_or_missing,391,7,5,0.7142857142857143
broad_PLP_to_non_PLP_or_missing,392,0,0,
broad_PLP_to_non_PLP_or_missing,393,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,394,3,2,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,395,5,2,0.4
broad_PLP_to_non_PLP_or_missing,396,8,5,0.625
broad_PLP_to_non_PLP_or_missing,397,7,6,0.8571428571428571
broad_PLP_to_non_PLP_or_missing,398,8,5,0.625
broad_PLP_to_non_PLP_or_missing,399,5,1,0.2
broad_PLP_to_non_PLP_or_missing,400,4,0,0.0
broad_PLP_to_non_PLP_or_missing,401,5,0,0.0
broad_PLP_to_non_PLP_or_missing,402,4,2,0.5
broad_PLP_to_non_PLP_or_missing,403,5,1,0.2
broad_PLP_to_non_PLP_or_missing,404,1,0,0.0
broad_PLP_to_non_PLP_or_missing,405,2,0,0.0
broad_PLP_to_non_PLP_or_missing,406,3,2,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,407,5,1,0.2
broad_PLP_to_non_PLP_or_missing,408,4,3,0.75
broad_PLP_to_non_PLP_or_missing,409,4,1,0.25
broad_PLP_to_non_PLP_or_missing,410,4,0,0.0
broad_PLP_to_non_PLP_or_missing,411,2,1,0.5
broad_PLP_to_non_PLP_or_missing,412,2,0,0.0
broad_PLP_to_non_PLP_or_missing,413,2,2,1.0
broad_PLP_to_non_PLP_or_missing,414,6,1,0.16666666666666666
broad_PLP_to_non_PLP_or_missing,415,5,1,0.2
broad_PLP_to_non_PLP_or_missing,416,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,417,3,2,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,418,2,0,0.0
broad_PLP_to_non_PLP_or_missing,419,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,420,5,4,0.8
broad_PLP_to_non_PLP_or_missing,421,6,3,0.5
broad_PLP_to_non_PLP_or_missing,422,2,1,0.5
broad_PLP_to_non_PLP_or_missing,423,4,2,0.5
broad_PLP_to_non_PLP_or_missing,424,1,0,0.0
broad_PLP_to_non_PLP_or_missing,425,5,2,0.4
broad_PLP_to_non_PLP_or_missing,426,5,1,0.2
broad_PLP_to_non_PLP_or_missing,427,2,1,0.5
broad_PLP_to_non_PLP_or_missing,428,5,4,0.8
broad_PLP_to_non_PLP_or_missing,429,4,2,0.5
broad_PLP_to_non_PLP_or_missing,430,2,1,0.5
broad_PLP_to_non_PLP_or_missing,431,5,1,0.2
broad_PLP_to_non_PLP_or_missing,432,4,2,0.5
broad_PLP_to_non_PLP_or_missing,433,5,2,0.4
broad_PLP_to_non_PLP_or_missing,434,4,3,0.75
broad_PLP_to_non_PLP_or_missing,435,4,1,0.25
broad_PLP_to_non_PLP_or_missing,436,4,1,0.25
broad_PLP_to_non_PLP_or_missing,437,4,2,0.5
broad_PLP_to_non_PLP_or_missing,438,2,1,0.5
broad_PLP_to_non_PLP_or_missing,439,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,440,6,4,0.6666666666666666
